_wandb,l0_norm,l1_loss,_runtime,_timestamp,total_loss,step,_step,dead_latents_proportion,reconstruction_loss,run_id,run_name,state,auxiliary_loss
{'runtime': 536},214.0611114501953,0.1102171465754509,536.9006462097168,1720533749.290542,0.3089054822921753,2660.0,2659.0,0.436767578125,0.1986883282661438,bzxh60m0,vanilla_12288_0.05,finished,
{'runtime': 880},32.0,,881.8348529338837,1720535018.400808,0.3080045282840729,2660.0,2659.0,0.4686686098575592,0.2691231966018677,80ewua2j,32_12288,finished,1.2442024946212769
{'runtime': 890},64.0,,890.1708018779755,1720535959.919072,0.2820737659931183,2660.0,2659.0,0.1852213591337204,0.22785599529743197,se44vhye,64_12288,finished,1.734968662261963
{'runtime': 617},64.0,,617.5575699806213,1720536594.941509,0.28651517629623413,2660.0,2659.0,0.1456163227558136,0.233173668384552,vk7kdjrx,64_9216_256,finished,1.7069286108016968
{'runtime': 458},64.0,,458.4516260623932,1720537447.230737,0.28650927543640137,2660.0,2659.0,0.123046875,0.23315156996250153,72cw0j1x,64_6144,finished,1.7074466943740845
{'runtime': 257},64.0,,262.7126739025116,1720537729.1604538,0.3095846474170685,2660.0,2659.0,0.0589192695915699,0.2564474642276764,fjo4384r,64_3072,finished,1.700389742851257
{'runtime': 597},64.0,,597.3874061107635,1720539038.8766642,0.2971557378768921,2660.0,2659.0,0.00021701389050576836,0.21579821407794952,nnl3w780,64_9216_128,finished,2.603440523147583
{'runtime': 588},64.0,,589.0238308906555,1720539687.422036,0.4513636231422424,2660.0,2659.0,0.01128472201526165,0.2875381112098694,zmph4ykz,64_9216_32,finished,5.2424163818359375
{'runtime': 1162},64.0,,1161.8743422031405,1720540903.623629,0.2712107002735138,4599.0,4598.0,0.0006510416860692203,0.19162502884864807,vbhpbqn9,64_9216_128_final,killed,2.546741485595703
{'runtime': 3012},64.0,,3012.2809278964996,1720546903.5807538,0.2528443932533264,13300.0,13299.0,0.00032552084303461015,0.16783760488033295,s4dnnetf,64_9216_128_final,finished,2.720216751098633
{'runtime': 3},,,,,,,,,,j00pof7x,32_9216_64_final,failed,
{'runtime': 3053},32.0,,3053.434212207794,1720551564.7615092,0.3262333571910858,2660.0,2659.0,0.0026041667442768812,0.2548064589500427,ujvdj1qb,32_9216_64_final,finished,2.2856605052948
{'runtime': 3507},32.0,,3507.5696289539337,1720555964.425559,0.34242355823516846,2660.0,2659.0,0.0042317709885537624,0.27182745933532715,w03f6b7s,32_6144_64_final,finished,2.25907564163208
{'runtime': 2115},32.0,,2115.602791070938,1720558619.656215,0.34187039732933044,2660.0,2659.0,0.0,0.2537415325641632,ahhul05l,32_6144_48_final,finished,2.8201236724853516
{'runtime': 450},16.0,,450.49105405807495,1720567831.883934,0.5011727809906006,735.0,734.0,0.01410590298473835,0.4377266466617584,pz7023nw,16_4608_24_final,killed,2.0302772521972656
{'runtime': 624},16.0,,624.6019968986511,1720568486.461515,0.44838500022888184,1398.0,1397.0,0.01920572854578495,0.3794728219509125,lcm3kfsr,16_3072_16_final,killed,2.2051901817321777
{'runtime': 661},16.0,,661.1864991188049,1720569235.591669,0.5458823442459106,746.0,745.0,0.01171875,0.43630778789520264,u7la78hp,16_6144_24_final,killed,1.753192663192749
{'runtime': 1736},16.0,,1736.7751710414886,1720571015.0002902,0.5279821157455444,2379.0,2378.0,0.2151692658662796,0.3761758208274842,pnmccwth,16_3072_8_final,killed,2.428901195526123
{'runtime': 8733},128.0,,8733.463544845581,1720579810.3716888,0.28053364157676697,2125.0,2124.0,0.0565592460334301,0.20468303561210632,hc4n72su,128_12288_256_final,killed,2.4272196292877197
{'runtime': 3936},128.0,,3936.6827120780945,1720583791.375159,0.28647929430007935,2660.0,2659.0,0.0,0.18322686851024628,27ijmjbp,128_12288_192_final,finished,3.3040771484375
{'runtime': 3028},64.0,,3028.6817469596863,1720620648.337738,0.24832311272621155,13300.0,13299.0,0.0011935763759538531,0.1622900515794754,o5u9tlqv,64_9216_128_final,finished,2.7530581951141357
{'runtime': 3228},64.0,,3228.2155590057373,1720623993.263901,0.14967353641986847,13300.0,13299.0,0.0,0.11818531900644302,34r7lfmp,64_9216_128_auxk,finished,1.0076230764389038
{'runtime': 3},,,,,,,,,,mmmemlvf,64_9216_128_256_multik,failed,
{'runtime': 3},,,,,,,,,,5q3hbens,64_9216_128_256_multik,failed,
{'runtime': 5259},64.0,,5260.102192878723,1720632483.2462049,0.23495733737945557,2660.0,2659.0,0.0,0.20346751809120175,y1drlgbt,64_9216_128_256_multik,finished,1.007673978805542
